GeneCluster	12869	12870	12871	12875	12876	12877	12878	12879	12880	12881	12882	12883	12884
CLS00001	1	1	0	1	1	1	1	1	1	1	1	1	1
CLS00002	1	0	0	1	1	1	1	1	1	1	1	1	1
CLS00003	1	0	1	1	1	1	0	1	1	1	0	1	1
CLS00004	1	1	1	1	1	1	1	1	1	1	1	1	1
CLS00005	1	1	1	1	1	1	1	1	1	1	1	1	1
CLS00006	1	1	1	1	1	1	1	1	1	1	1	1	1
CLS00007	1	1	1	1	1	1	1	1	1	1	1	1	1
CLS00008	1	1	0	1	1	1	1	1	1	1	0	1	1
CLS00009	1	0	0	1	1	1	1	1	1	1	0	1	1
CLS00010	1	0	1	1	1	1	1	1	1	1	0	1	1
CLS00011	1	0	1	1	1	1	1	1	1	0	1	1	1
CLS00012	1	1	0	1	0	1	1	1	1	1	1	1	1
CLS00013	1	1	1	1	1	1	1	1	1	1	1	1	1
CLS00014	1	0	0	1	1	1	1	1	1	1	1	1	1
CLS00015	1	1	1	1	1	1	1	1	1	1	1	1	1
CLS00016	1	1	1	1	1	1	1	1	1	1	1	1	1
